Rank,Team,Coefficient
1, Clemson,55.6634307086017
2, Texas_A&M,51.903262387408
3, Wake_Forest,51.6434863399437
4, W_Michigan,48.4140774396918
5, Tennessee,47.6081098324212
6, Louisville,47.5264679793656
7, Wisconsin,47.2332490865022
8, Navy,45.1928862727312
9, Nebraska,40.0413562332841
10, Florida_St,38.7620103775281
11, Boise_St,36.5644553688624
12, Alabama,35.3380546001226
13, Troy,33.6233433011352
14, Florida,33.4011498894106
15, Michigan,32.8603743409219
16, Arizona_St,32.2593383901657
17, Houston,31.8927874999761
18, Ga_Southern,31.5794749908885
19, Auburn,31.3076885304953
20, Southern_Miss,31.2366774960733
21, Tulane,31.1506123038033
22, San_Diego_St,29.9481426445581
23, ULL,29.2803403371639
24, LSU,28.6319508858807
25, Kentucky,27.3585857297951
26, South_Alabama,27.2243103557701
27, California,27.1199837264838
28, Mississippi,25.9830672854751
29, Colorado,25.9500472582885
30, South_Florida,25.6249814036695
31, Cincinnati,24.8128060026932
32, Texas,24.7998508990725
33, Northwestern,24.5293091313781
34, Georgia,24.4090683961911
35, Mississippi_St,24.3046779671371
36, Stanford,24.0819588465128
37, Arkansas,23.8063738908384
38, Georgia_Tech,23.8016509023628
39, Michigan_St,23.7387722606818
40, Baylor,23.4731251313461
41, Syracuse,23.0731796738837
42, Duke,22.6702142758631
43, Purdue,22.3837693176539
44, Oregon,22.148663156396
45, West_Virginia,21.8880859749217
46, Connecticut,21.172112174912
47, South_Carolina,20.8342279317555
48, Utah,20.8282369661149
49, Virginia_Tech,20.5800500654389
50, Ohio_St,19.7682446712157
51, Washington,19.7682446712157
52, Miami_FL,19.7549751741188
53, Notre_Dame,19.4692317676093
54, Iowa,18.7083248825866
55, North_Carolina,18.5738886852491
56, Virginia,18.4265602755306
57, TCU,18.2610975206502
58, Indiana,17.3821079110058
59, C_Michigan,17.1193350788533
60, UCLA,17.1060386895
61, Appalachian_St,17.0741626086517
62, Nevada,17.0619250541313
63, Minnesota,16.6106014327066
64, Air_Force,16.6106014327065
65, Missouri,16.124192168384
66, Maryland,16.0836534708558
67, Buffalo,15.8657683473526
68, Oklahoma_St,15.6258577310554
69, Memphis,15.576664784456
70, Toledo,15.576664784456
71, Vanderbilt,15.5615240345728
72, Tulsa,15.305803447115
73, Washington_St,15.3016545098412
74, Ball_St,15.0453345137191
75, Texas_St,14.8612670322366
76, USC,14.7932931050101
77, Army,14.6749756361026
78, E_Michigan,14.6403579054771
79, SMU,14.6229520183975
80, Boston_College,14.5214632896604
81, Kansas_St,14.2760159954144
82, Texas_Tech,14.2760159954144
83, BYU,14.2314136800034
84, Oklahoma,14.0042295350212
85, Rutgers,14.0042295350212
86, UCF,13.9680706930604
87, Colorado_St,13.6858706473553
88, Iowa_St,13.5973135039707
89, Akron,13.5735662854495
90, Idaho,13.464397740345
91, Ohio,13.0851467593183
92, Pittsburgh,13.0635810968697
93, Utah_St,12.9188053196381
94, Oregon_St,12.9102931301067
95, North_Texas,12.6634591749126
96, Wyoming,12.6049358876228
97, Arizona,12.4718295583278
98, East_Carolina,12.415888777992
99, Fresno_St,12.4113469600703
100, Georgia_St,12.2254184865451
101, Illinois,12.0388553402294
102, ULM,11.9279216143121
103, Marshall,11.8200179346063
104, MTSU,11.723407638122
105, FL_Atlantic,11.6464932620286
106, Penn_St,11.5764538507864
107, WKU,11.4628201847779
108, Kansas,11.2755390728358
109, San_Jose_St,11.2610263445251
110, NC_State,10.9964257357384
111, UTEP,10.8032811443804
112, Arkansas_St,10.3925452430443
113, N_Illinois,10.1764687507274
114, Hawaii,10.0414948040258
115, Massachusetts,9.50511692911878
116, Kent,9.23501064895176
117, Bowling_Green,9.07103640243886
118, Old_Dominion,8.88608610697798
119, Miami_OH,8.64959471027575
120, Louisiana_Tech,8.46261208372008
121, UNLV,8.38822239909559
122, New_Mexico_St,7.9416401527961
123, Temple,6.70740329954206
124, Florida_Intl,6.31531517840778
125, UT_San_Antonio,5.80317211841038
126, New_Mexico,5.57107710950835
127, Charlotte,3.66449606262347
128, Rice,3.26803451953925
